,date,acc_decide,acc_recovered,acc_death
284,2020-10-30,26511,24311,464
285,2020-10-31,26635,24357,466
286,2020-11-01,26732,24395,468
287,2020-11-02,26807,24510,472
288,2020-11-03,26925,24616,474
289,2020-11-04,27050,24735,475
290,2020-11-05,27195,24821,476
291,2020-11-06,27284,24910,477
292,2020-11-07,27427,24968,478
293,2020-11-08,27553,25029,480
294,2020-11-09,27653,25160,485
295,2020-11-10,27799,25266,487
296,2020-11-11,27942,25404,487
297,2020-11-12,28133,25537,488
298,2020-11-13,28338,25636,492
299,2020-11-14,28546,25691,493
300,2020-11-15,28769,25759,494
301,2020-11-16,28998,25860,494
302,2020-11-17,29311,25973,496
303,2020-11-18,29654,26098,498
304,2020-11-19,30017,26263,501
305,2020-11-20,30403,26365,503
306,2020-11-21,30733,26466,505
307,2020-11-22,31004,26539,509
308,2020-11-23,31353,26722,510
309,2020-11-24,31735,26825,513
310,2020-11-25,32318,26950,515
311,2020-11-26,32887,27103,516
312,2020-11-27,33375,27349,522
313,2020-11-28,33824,27542,523
314,2020-11-29,34201,27653,526
315,2020-11-30,34652,27885,526
316,2020-12-01,35163,28065,526
317,2020-12-02,35703,28352,529
318,2020-12-03,36332,28611,536
319,2020-12-04,36915,28917,540
320,2020-12-05,37546,29128,545
321,2020-12-06,38161,29301,549
322,2020-12-07,38755,29650,552
323,2020-12-08,39432,30177,556
324,2020-12-09,40098,30637,564
325,2020-12-10,40786,31157,572
326,2020-12-11,41736,31493,578
327,2020-12-12,42766,31814,580
328,2020-12-13,43484,32102,587
329,2020-12-14,44364,32559,600
330,2020-12-15,45442,32947,612
331,2020-12-16,46453,33610,634
332,2020-12-17,47515,33982,645
333,2020-12-18,48570,34334,659
334,2020-12-19,49665,34722,674
335,2020-12-20,50591,35155,698
336,2020-12-21,51460,35928,722
337,2020-12-22,52550,36726,739
338,2020-12-23,53533,37425,756
339,2020-12-24,54770,38048,773
340,2020-12-25,55902,38532,793
341,2020-12-26,56872,39040,808
342,2020-12-27,57680,39268,819
343,2020-12-28,58725,40703,859
344,2020-12-29,59773,41435,879
345,2020-12-30,60740,42271,900
346,2020-12-31,61769,42953,917
347,2021-01-01,62593,43578,942
348,2021-01-02,63244,44507,962
349,2021-01-03,64264,45240,981
350,2021-01-04,64979,46172,1007
351,2021-01-05,65818,46995,1027
352,2021-01-06,66686,47649,1046
353,2021-01-07,67358,48369,1081
354,2021-01-08,67999,49324,1100
355,2021-01-09,68664,50409,1125
356,2021-01-10,69114,52552,1140
357,2021-01-11,69651,53569,1165
358,2021-01-12,70212,54636,1185
359,2021-01-13,70728,55772,1195
360,2021-01-14,71241,56536,1217
361,2021-01-15,71820,57554,1236
362,2021-01-16,72340,58253,1249
363,2021-01-17,72729,58723,1264
364,2021-01-18,73115,59468,1283
365,2021-01-19,73518,60180,1300
366,2021-01-20,73918,60846,1316
367,2021-01-21,74262,61415,1328
368,2021-01-22,74692,62044,1337
369,2021-01-23,75084,62530,1349
370,2021-01-24,75521,62956,1360
371,2021-01-25,75875,64793,1371
372,2021-01-26,76429,65478,1378
373,2021-01-27,76926,66016,1386
374,2021-01-28,77395,66503,1399
375,2021-01-29,77850,67121,1414
376,2021-01-30,78205,67878,1420
377,2021-01-31,78508,68309,1425
378,2021-02-01,78844,68775,1435
379,2021-02-02,79311,69299,1441
380,2021-02-03,79762,69704,1448
381,2021-02-04,80131,70117,1459
382,2021-02-05,80524,70505,1464
383,2021-02-06,80896,70865,1471
384,2021-02-07,81185,71218,1474
385,2021-02-08,81487,71676,1482
