날짜,코로나
2021-02-24,6.56867
2021-02-25,6.10929
2021-02-26,6.32675
2021-02-27,4.93707
2021-02-28,4.97805
2021-03-01,4.71073
2021-03-02,5.80882
2021-03-03,5.51442
2021-03-04,5.42781
2021-03-05,5.48207
2021-03-06,4.62222
2021-03-07,4.33059
2021-03-08,5.56513
2021-03-09,5.27705
2021-03-10,5.48183
2021-03-11,5.346
2021-03-12,5.39559
2021-03-13,4.16414
2021-03-14,4.24869
2021-03-15,4.90862
2021-03-16,4.68065
2021-03-17,4.65584
2021-03-18,4.53108
2021-03-19,4.21769
2021-03-20,3.55653
2021-03-21,3.49346
2021-03-22,4.47571
2021-03-23,4.12057
2021-03-24,4.28381
2021-03-25,4.22427
